Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP_m,CP (0 to 4 deg),Reynolds Number
0.01,0,0.654863959,0.654863959,0.625409659,0.654863959,0.625409659,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,432708.9
0.02,0,0.571726979,0.571726979,0.542272679,0.571726979,0.542272679,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,865417.8
0.03,0,0.530566476,0.530566476,0.501112176,0.530566476,0.501112176,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,1298127
0.04,0,0.504175126,0.504175126,0.474720826,0.504175126,0.474720826,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,1730836
0.05,0,0.485144857,0.485144857,0.455690557,0.485144857,0.455690557,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,2163544
0.06,0,0.470457424,0.470457424,0.441003124,0.470457424,0.441003124,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,2596253
0.07,0,0.458606279,0.458606279,0.429151979,0.458606279,0.429151979,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,3028962
0.08,0,0.448738245,0.448738245,0.419283945,0.448738245,0.419283945,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,3461671
0.09,0,0.440327317,0.440327317,0.410873017,0.440327317,0.410873017,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,3894380
0.1,0,0.433027135,0.433027135,0.403572835,0.433027135,0.403572835,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,4327089
0.11,0,0.426599111,0.426599111,0.397144811,0.426599111,0.397144811,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,4759798
0.12,0,0.4208722,0.4208722,0.3914179,0.4208722,0.3914179,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,5192506
0.13,0,0.415719679,0.415719679,0.386265379,0.415719679,0.386265379,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,5625216
0.14,0,0.411045594,0.411045594,0.381591294,0.411045594,0.381591294,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,6057924
0.15,0,0.406775437,0.406775437,0.377321137,0.406775437,0.377321137,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,6490634
0.16,0,0.402850442,0.402850442,0.373396142,0.402850442,0.373396142,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,6923342
0.17,0,0.399223363,0.399223363,0.369769063,0.399223363,0.369769063,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,7356052
0.18,0,0.395855819,0.395855819,0.366401519,0.395855819,0.366401519,0,0,0,0,16.99220311,59.44510309,1.509905619,58.22854569,7788760
