Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,53.01,0,0,68.69,79.56271,2.124359,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.3160919,0,223.6467,53.01,0,0,68.67408,79.56271,2.12747,103.566623816792,103.566623816521,0.000236912073454394,1.03566600000271,1.035666,0.000002369121,89.9999,89.9999,0.00517833,0.0000000118456
0.02,S,0.02,0.010,0,0.3160919,0,446.1971,53.00415,0.00005885978,0,68.65815,79.56271,2.130582,238.671639967651,238.671639967183,0.000472714804404856,3.42238200000736,3.422382,0.000007096269,89.9999,89.9999,0.02746857,0.00000005917255
0.03,S,0.03,0.010,0,0.3160919,0,668.7475,52.98661,0.0006427409,0,68.64223,79.56271,2.133693,373.895749888988,373.895749888316,0.000708725391488802,7.16134000001405,7.16134,0.00001418352,89.9999,89.9999,0.08038718,0.0000001655715
0.04,S,0.04,0.010,0,0.3160917,0,891.298,52.95739,0.002814277,0,68.6263,79.56271,2.136805,509.32801329066,509.328013289783,0.000945099277239353,12.2546200000228,12.25462,0.00002363451,89.9999,89.9999,0.177467,0.0000003546616
0.05,S,0.05,0.01117201,0,0.3210026,0,979.8754,52.91647,0.008368975,0,68.61037,79.56271,2.139916,563.599793106475,563.599793105516,0.00103982139935525,17.8906200000324,17.89062,0.00003403272,89.9999,89.9999,0.3281932,0.0000006429977
0.05999999,S,0.05999999,0.01631012,0,0.3287485,0,1000.628,52.86737,0.01826741,0,68.59445,79.56271,2.143028,576.776787919648,576.776787918669,0.00106281959155518,23.6583900000422,23.65839,0.00004466092,89.9999,89.9999,0.5359383,0.000001036466
0.06999999,S,0.06999999,0.02156837,0,0.3275826,0,1004.425,52.81505,0.03183107,0,68.57853,79.56271,2.14614,579.684718329412,579.684718328428,0.00106789488813505,29.455240000052,29.45524,0.00005533987,89.9999,89.9999,0.8015064,0.00000153647
0.07999999,S,0.07999999,0.02685314,0,0.3238244,0,1008.222,52.76244,0.04877442,0,68.5626,79.56271,2.149251,582.599819978887,582.599819977899,0.00107298269848619,35.2812400000619,35.28124,0.0000660697,89.9999,89.9999,1.125189,0.000002143518
0.08999999,S,0.08999999,0.03216451,0,0.3193626,0,1012.019,52.70963,0.06901216,0,68.54668,79.56271,2.152363,585.521096123954,585.521096122962,0.00107808128648842,41.1364500000718,41.13645,0.00007685051,89.9999,89.9999,1.507277,0.000002858118
