Mach,Reynolds,AoA_deg,CA,CN,CP_m
0.30,3000000,0.0,0.550,0.000,1.550
0.30,3000000,2.0,0.555,0.070,1.520
0.30,3000000,5.0,0.565,0.175,1.500
0.30,3000000,10.0,0.580,0.350,1.480
0.30,3000000,15.0,0.610,0.520,1.460
0.50,3000000,0.0,0.520,0.000,1.550
0.50,3000000,2.0,0.525,0.072,1.515
0.50,3000000,5.0,0.535,0.180,1.500
0.50,3000000,10.0,0.550,0.360,1.475
0.50,3000000,15.0,0.575,0.530,1.455
0.80,3000000,0.0,0.510,0.000,1.545
0.80,3000000,2.0,0.515,0.074,1.510
0.80,3000000,5.0,0.525,0.185,1.495
0.80,3000000,10.0,0.545,0.370,1.470
0.80,3000000,15.0,0.575,0.545,1.450
1.20,3000000,0.0,0.600,0.000,1.560
1.20,3000000,2.0,0.605,0.080,1.530
1.20,3000000,5.0,0.615,0.200,1.510
1.20,3000000,10.0,0.640,0.400,1.490
1.20,3000000,15.0,0.680,0.590,1.470
1.80,3000000,0.0,0.560,0.000,1.555
1.80,3000000,2.0,0.565,0.076,1.525
1.80,3000000,5.0,0.575,0.190,1.505
1.80,3000000,10.0,0.600,0.380,1.485
1.80,3000000,15.0,0.630,0.560,1.465
