Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP_m,CP (0 to 4 deg),Reynolds Number
0.01,0,0.330522034,0.330522034,0.31529917,0.330522034,0.31529917,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,618159.3
0.02,0,0.343694297,0.343694297,0.328471433,0.343694297,0.328471433,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,1236070
0.03,0,0.336829462,0.336829462,0.321606598,0.336829462,0.321606598,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,1853731
0.04,0,0.334814619,0.334814619,0.319591756,0.334814619,0.319591756,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,2471144
0.05,0,0.334330484,0.334330484,0.319107621,0.334330484,0.319107621,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,3088308
0.06,0,0.332881681,0.332881681,0.317658817,0.332881681,0.317658817,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,3705223
0.07,0,0.331077502,0.331077502,0.315854639,0.331077502,0.315854639,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,4321890
0.08,0,0.329168483,0.329168483,0.313945619,0.329168483,0.313945619,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,4938309
0.09,0,0.327264967,0.327264967,0.312042103,0.327264967,0.312042103,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,5554480
0.1,0,0.32541194,0.32541194,0.310189076,0.32541194,0.310189076,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,6170403
0.11,0,0.323639627,0.323639627,0.308416764,0.323639627,0.308416764,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,6786078
0.12,0,0.321950954,0.321950954,0.30672809,0.321950954,0.30672809,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,7401504
0.13,0,0.320346538,0.320346538,0.305123674,0.320346538,0.305123674,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,8016685
0.14,0,0.318823676,0.318823676,0.303600812,0.318823676,0.303600812,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,8631618
0.15,0,0.31737811,0.31737811,0.302155247,0.31737811,0.302155247,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,9246303
0.16,0,0.316004973,0.316004973,0.30078211,0.316004973,0.30078211,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,9860740
0.17,0,0.314699284,0.314699284,0.29947642,0.314699284,0.29947642,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,10474930
0.18,0,0.313456193,0.313456193,0.29823333,0.313456193,0.29823333,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,11088880
0.19,0,0.312271175,0.312271175,0.297048311,0.312271175,0.297048311,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,11702570
0.2,0,0.311139944,0.311139944,0.295917081,0.311139944,0.295917081,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,12316020
0.21,0,0.310058597,0.310058597,0.294835733,0.310058597,0.294835733,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,12929230
0.22,0,0.309023571,0.309023571,0.293800708,0.309023571,0.293800708,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,13542190
0.23,0,0.308031599,0.308031599,0.292808735,0.308031599,0.292808735,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,14154900
0.24,0,0.307079699,0.307079699,0.291856835,0.307079699,0.291856835,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,14767360
0.25,0,0.30616514,0.30616514,0.290942276,0.30616514,0.290942276,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,15379580
0.26,0,0.305449425,0.305449425,0.290226562,0.305449425,0.290226562,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,15991560
0.27,0,0.304766329,0.304766329,0.289543465,0.304766329,0.289543465,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,16603290
0.28,0,0.304113783,0.304113783,0.288890919,0.304113783,0.288890919,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,17214770
0.29,0,0.303489897,0.303489897,0.288267033,0.303489897,0.288267033,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,17826000
0.3,0,0.302892913,0.302892913,0.287670049,0.302892913,0.287670049,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,18437000
0.31,0,0.302321267,0.302321267,0.287098403,0.302321267,0.287098403,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,19047750
0.32,0,0.301969026,0.301969026,0.286746163,0.301969026,0.286746163,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,19658250
0.33,0,0.302089277,0.302089277,0.286866413,0.302089277,0.286866413,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,20268510
0.34,0,0.302209614,0.302209614,0.286986751,0.302209614,0.286986751,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,20878520
0.35,0,0.302330038,0.302330038,0.287107174,0.302330038,0.287107174,0,0,0,0,10.50018676,79.56270516,2.020892711,76.6504946,21488290
