Time (sec),Mach Number,Weight (kg),Stability Margin (cal),Altitude (m)
0,0,24.04493153,2.124359,0
0.01,0.01,24.04493153,2.12747,0.001578355
0.02,0.01,24.04227802,2.130582,0.00837242
0.03,0.01,24.03432201,2.133693,0.024502012
0.04,0.01,24.02106804,2.136805,0.054091942
0.05,0.01117201,24.00250704,2.139916,0.100033287
0.05999999,0.01631012,23.98023565,2.143028,0.163353994
0.06999999,0.02156837,23.9565037,2.14614,0.244299151
0.07999999,0.02685314,23.93264021,2.149251,0.342957607
0.08999999,0.03216451,23.90868599,2.152363,0.45941803
0.09999999,0.03750252,23.88464106,2.155474,0.593769907
0.11,0.04286724,23.86050541,2.158586,0.746050426
0.12,0.04822769,23.83633801,2.161697,0.916239468
0.13,0.05358041,23.81222958,2.164809,1.104311126
0.14,0.05892533,23.78817557,2.16792,1.310238883
0.15,0.06426241,23.76418054,2.171031,1.533996526
0.16,0.06959162,23.74023993,2.174143,1.775557231
0.17,0.07491291,23.71635829,2.177254,2.034894787
0.18,0.08022624,23.69253109,2.180366,2.311982066
0.19,0.08553156,23.66876285,2.183477,2.606791942
0.2,0.09082884,23.64505357,2.186589,2.919316488
0.21,0.09612948,23.62137605,2.1897,3.249567288
0.22,0.1014335,23.59770306,2.192812,3.5975544
0.23,0.1067409,23.57404369,2.195924,3.963290016
0.24,0.1120517,23.55038884,2.199035,4.34678328
0.25,0.1173657,23.52674307,2.202147,4.756934352
0.26,0.1226828,23.50310638,2.205258,5.184870504
0.27,0.1280033,23.47947875,2.208369,5.63060088
0.28,0.1333271,23.45585566,2.211481,6.094137672
0.29,0.1386541,23.43224618,2.214592,6.575493072
0.3,0.1439844,23.40864123,2.217704,7.074676224
0.31,0.149318,23.38504535,2.220815,7.59169932
0.32,0.1546549,23.36145855,2.223927,8.126568456
0.33,0.159995,23.33788082,2.227038,8.679298872
0.3399999,0.1653383,23.31430762,2.23015,9.249896664
0.3499999,0.1706849,23.29074804,2.233261,9.838377072
0.3599999,0.1760347,23.26719298,2.236373,10.44474619
0.3699999,0.1813877,23.243647,2.239484,11.06901926
0.3799999,0.1867439,23.2201101,2.242596,11.71120238
0.3899999,0.1921033,23.19658226,2.245707,12.37131689
0.3999999,0.1974691,23.17305442,2.248819,13.04938411
0.4099999,0.2028412,23.14952205,2.25193,13.74542539
0.4199999,0.2082197,23.12598514,2.255042,14.45945902
0.4299999,0.2136046,23.1024437,2.258153,15.19151242
0.4399998,0.2189957,23.07889772,2.261265,15.94159778
0.4499998,0.2243933,23.0553472,2.264376,16.70974255
0.4599998,0.2297972,23.03179215,2.267488,17.49596501
0.4699998,0.2352075,23.00822803,2.270599,18.30028649
0.4799998,0.2406241,22.9846639,2.273711,19.12272528
0.4899998,0.2460471,22.96109071,2.276822,19.96330577
0.4999998,0.2514764,22.93751751,2.279934,20.82204624
0.5099998,0.2569121,22.91393525,2.283045,21.69896498
0.5199998,0.2623542,22.89034844,2.286157,22.59408943
