Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,Thrust (N),Thrust (lb),Mass (kg),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (m),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,24.04493153,53.01,0,0,68.69,79.56271,2.124359,0,0,0,0,0,0,89.9999,89.9999,0,0,0
0.01,S,0.01,0.01,0,0.3160919,994.8300851,223.6467,24.04493153,53.01,0,0,68.67408,79.56271,2.12747,103.5666238,103.5666238,0.000236912,1.035666,1.035666,2.37E-06,89.9999,89.9999,0.001578355,0.00517833,1.18E-08
0.02,S,0.02,0.01,0,0.3160919,1984.783585,446.1971,24.04227802,53.00415,5.89E-05,0,68.65815,79.56271,2.130582,238.67164,238.67164,0.000472715,3.422382,3.422382,7.10E-06,89.9999,89.9999,0.00837242,0.02746857,5.92E-08
0.03,S,0.03,0.01,0,0.3160919,2974.737085,668.7475,24.03432201,52.98661,0.000642741,0,68.64223,79.56271,2.133693,373.8957499,373.8957499,0.000708725,7.16134,7.16134,1.42E-05,89.9999,89.9999,0.024502012,0.08038718,1.66E-07
0.04,S,0.04,0.01,0,0.3160917,3964.691029,891.298,24.02106804,52.95739,0.002814277,0,68.6263,79.56271,2.136805,509.3280133,509.3280133,0.000945099,12.25462,12.25462,2.36E-05,89.9999,89.9999,0.054091942,0.177467,3.55E-07
0.05,S,0.05,0.01117201,0,0.3210026,4358.702935,979.8754,24.00250704,52.91647,0.008368975,0,68.61037,79.56271,2.139916,563.5997931,563.5997931,0.001039821,17.89062,17.89062,3.40E-05,89.9999,89.9999,0.100033287,0.3281932,6.43E-07
0.05999999,S,0.05999999,0.01631012,0,0.3287485,4451.015098,1000.628,23.98023565,52.86737,0.01826741,0,68.59445,79.56271,2.143028,576.7767879,576.7767879,0.00106282,23.65839,23.65839,4.47E-05,89.9999,89.9999,0.163353994,0.5359383,1.04E-06
0.06999999,S,0.06999999,0.02156837,0,0.3275826,4467.904996,1004.425,23.9565037,52.81505,0.03183107,0,68.57853,79.56271,2.14614,579.6847183,579.6847183,0.001067895,29.45524,29.45524,5.53E-05,89.9999,89.9999,0.244299151,0.8015064,1.54E-06
0.07999999,S,0.07999999,0.02685314,0,0.3238244,4484.794893,1008.222,23.93264021,52.76244,0.04877442,0,68.5626,79.56271,2.149251,582.59982,582.59982,0.001072983,35.28124,35.28124,6.61E-05,89.9999,89.9999,0.342957607,1.125189,2.14E-06
0.08999999,S,0.08999999,0.03216451,0,0.3193626,4501.684791,1012.019,23.90868599,52.70963,0.06901216,0,68.54668,79.56271,2.152363,585.5210961,585.5210961,0.001078081,41.13645,41.13645,7.69E-05,89.9999,89.9999,0.45941803,1.507277,2.86E-06
0.09999999,S,0.09999999,0.03750252,0,0.3194707,4518.574688,1015.816,23.88464106,52.65662,0.09385008,0,68.53075,79.56271,2.155474,588.4480848,588.4480848,0.00108319,47.02093,47.02093,8.77E-05,89.9999,89.9999,0.593769907,1.948064,3.68E-06
0.11,S,0.11,0.04286724,0,0.3195976,4510.710233,1014.048,23.86050541,52.60341,0.122668,0,68.51482,79.56271,2.158586,587.976369,587.976369,0.001082367,52.9007,52.9007,9.85E-05,89.9999,89.9999,0.746050426,2.447672,4.61E-06
0.12,S,0.12,0.04822769,0,0.3192137,4500.092328,1011.661,23.83633801,52.55013,0.1550758,0,68.4989,79.56271,2.161697,587.1237231,587.1237231,0.001080878,58.77194,58.77194,0.000109315,89.9999,89.9999,0.916239468,3.006035,5.65E-06
0.13,S,0.13,0.05358041,0,0.3185322,4489.474423,1009.274,23.81222958,52.49698,0.1909973,0,68.48298,79.56271,2.164809,586.2658655,586.2658655,0.001079381,64.6346,64.6346,0.000120109,89.9999,89.9999,1.104311126,3.623068,6.80E-06
0.14,S,0.14,0.05892533,0,0.3176768,4478.856518,1006.887,23.78817557,52.44395,0.230379,0,68.46706,79.56271,2.16792,585.4028432,585.4028432,0.001077875,70.48862,70.48862,0.000130887,89.9999,89.9999,1.310238883,4.298684,8.05E-06
0.15,S,0.15,0.06426241,0,0.3167219,4468.238613,1004.5,23.76418054,52.39105,0.2731721,0,68.45113,79.56271,2.171031,584.5345269,584.5345269,0.001076359,76.33396,76.33396,0.000141651,89.9999,89.9999,1.533996526,5.032797,9.42E-06
